table_name
adaptive_learning_metrics
admin_activity_log
admin_approval_requests
admin_users
ai_behavior_monitoring
ai_chunk_hash_stats
ai_confidence_scoring
ai_document_chunks
ai_document_versions
ai_documents
ai_feedback_log
ai_feedback_loop_log
ai_feedback_submissions
ai_learning_patterns
ai_upload_audit
approval_requests
approved_chunks_cache
assessment_scores
assessments
audit_trail
auditor_assignments
backoffice_admins
chunks
criteria
criteria_deferrals
criteria_edit_history
criteria_rejections
cross_org_tracking
deduplication_reports
discount_codes
document_types
domains
evidence
external_insights
feedback_retraining_weights
gap_tickets
human_approval_workflows
learning_model_snapshots
learning_rule_configurations
maturity_levels
maturity_practice_statements
migration_status
milestone_status_history
milestone_tasks
milestone_test_notes
milestones
org_crawl_queue
org_domains
org_ingest_jobs
org_page_chunks
org_pages
org_profiles
organization_documents
organization_invitations
organization_members
organizations
override_approvals
pattern_recognition_history
policy_change_log
processing_pipeline_status
profiles
qa_alerts
qa_metrics
qa_rules
qa_test_log
refactor_qa_log
security_configuration
security_exceptions
security_monitoring
security_rate_limits
subscription_modules
system_drift_detection
system_reports
upload_session_log
watchdog_alerts
watchdog_incidents
